Sl.no,Sample,Total Sugar,Reducing Sugar,Apparent Sucrose,Glucose,Fructose,Sucrose,FR Ratio,Glucose-water ratio,Moisture
1,Acasia,68.4,63.89,4.51,,,,,,
2,Pineapple,63.33,61.17,2.17,,,,,,
3,Bomeo,66.8,63.06,3.74,,,,,,
4,Tualang,63.6,61.94,1.66,,,,,,
5,Eg,,69.84,,26.54,43.3,3.31,1.63,1.45,
6,Yem,,64.21,,25.45,38.76,3.43,1.52,1.56,
7,Sau,,72.36,,21.58,50.78,3.59,2.35,1.38,
8,Kash,,15.11,,10.63,4.48,1.34,0.42,0.72,
9,wild bee,,,,,459,8.7,,,20.14
10,traditional_bee,,,,,434,6.04,,,19.09
,modern_bee,,,,,382,3.05,,,22.03
,H01,,,,,,,,,15
,H02,,,,,,,,,14
,H03,,,,,,,,,15
,H04,,,,,,,,,18
,H05,,,,,,,,,14.5
,MOH,,,,,,,,,14.38
,WH,,,,,,,,,10.77
,GH,,,,,,,,,36.87
,ADH,,,,,,,,,14.07
,AHH,,,,,,,,,17.8
,ADH1,,,,,,,,,14.45
,AHH1,,,,,,,,,19.22
,MH,,,,,,,,,14.76
,ADH2,,,,,,,,,10.24
,W.POKOT,,,,,,,61.5,61.5,16.74
,BARINGO,,,,,,0.9,66.5,,16.57
,MWINGI,,,,,,2.23,65,,16.62
,TANA,,,,,,2.07,77.83,,17
,KINANGOP,,,,,,,102.66,,21.2
,MBEERE,,,,,,,70.13,,17
,NANDI HILLS,,,,,,,59.13,,16
,MIDA CREEK,,,,,,,57.03,,19.62
,KAKAMEGA,,,,,,,72.96,,20.2
,TAITA,,,,,,,81.5,,17
,APIS CERANA,,65.9,,33.87,35.81,,,,8.9
,APIS MELLIFERA,,64.71,,32.74,35.64,,,,7.7
